السنة,الربع,المنطقة,النشاط الاقتصادي,عدد المنشآت متناهية الصغر,عدد المنشآت الصغيرة,عدد المنشآت المتوسطة,عدد المنشآت الكبيرة,عدد المنشآت,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
2023,2,منطقة مكة المكرمة,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,319.0,98.0,18.0,2.0,437.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة العمل الاجتماعي، دون إقامة,428.0,247.0,16.0,,691.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,1.0,2.0,1.0,,4.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,984.0,388.0,26.0,7.0,1405.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة المكاتب الرئيسية، والأنشطة الاستشارية في مجال الإدارة,249.0,77.0,4.0,,330.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة المكتبات والمحفوظات والمتاحف والأنشطة الثقافية الأخرى,60.0,4.0,1.0,,65.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة المنظمات ذات العضوية,229.0,37.0,5.0,1.0,272.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة النشر,107.0,19.0,4.0,,130.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة تقديم الخدمات للمباني وتجميل المواقع,2744.0,819.0,228.0,62.0,3853.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,97.0,66.0,8.0,5.0,176.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة خدمات الأطعمة والمشروبات,17439.0,4497.0,296.0,24.0,22256.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة خدمات المعلومات,115.0,48.0,3.0,2.0,168.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة خدمات دعم التعدين,31.0,9.0,2.0,2.0,44.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,1992.0,104.0,12.0,3.0,2111.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,تجارة التجزئة، باستثناء المركبات ذات المحركات والدراجات النارية,34016.0,6003.0,391.0,43.0,40453.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,تجارة الجملة ، باستثناء المركبات ذات المحركات والدراجات النارية,15032.0,4798.0,341.0,32.0,20203.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,تجارة الجملة والتجزئة ، وإصلاح المركبات ذات المحركات والدراجات النارية,11552.0,1616.0,77.0,21.0,13266.0,,,,,,,,,,
2023,2,منطقة مكة المكرمة,تجميع المياه ومعالجتها وتوصيلها,388.0,67.0,12.0,1.0,468.0,,,,,,,,,,
